section,phase,ratio,version,embedding_key,embedding_label,selection_strategy,selection_scope,predictor,hyperparam_policy,K,tau,item_r_mean,item_r_ci_lower,item_r_ci_upper,trait_r_mean,profile_r_mean,item_mae_mean,reference,source_artifact,within_minus_between_raw_cosine,mean_selected_set_coverage_shifted_cosine,mean_selected_set_redundancy_shifted_cosine,delta_item_r_vs_sbert,p_vs_sbert_holm,delta_item_r_selection_vs_A,p_selection_holm,jaccard_mean_vs_s_old
phase1_selection_strategy,phase1,10.0,,sbert_original,SBERT (original),Random,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.0684458230785361,0.0652324036403484,0.0716097224940031,0.4132398352745294,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,30.0,,sbert_original,SBERT (original),Random,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.1984025950702485,0.1943440747329265,0.2023732670880946,0.7810043885172712,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,50.0,,sbert_original,SBERT (original),Random,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.2767314496529674,0.2727667534100156,0.2806774947726978,0.916720975882806,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,90.0,,sbert_original,SBERT (original),Random,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.3214495923690446,0.311293274422136,0.3317237093615475,0.992390663340095,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,10.0,,sbert_original,SBERT (original),BalancedRandom,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.0750805738938573,0.0715185264930084,0.0784642440696581,0.4717958238837121,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,30.0,,sbert_original,SBERT (original),BalancedRandom,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.2135711332292851,0.2101999667325978,0.2169802113990189,0.8219237284054575,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,50.0,,sbert_original,SBERT (original),BalancedRandom,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.2852225854101209,0.2817139673794405,0.288743378877294,0.9278229216879436,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,90.0,,sbert_original,SBERT (original),BalancedRandom,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.3436720709456648,0.33411781114258,0.3533142864678199,0.9927980130579088,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,10.0,,sbert_original,SBERT (original),Coverage,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.0836368102444791,0.0764178286288372,0.0910778270731922,0.4676142699173925,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,30.0,,sbert_original,SBERT (original),Coverage,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.2555322634425815,0.249326023071902,0.2617385038132609,0.8284208548110387,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,50.0,,sbert_original,SBERT (original),Coverage,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.3037373382247258,0.2966510044882892,0.3109040761066599,0.9326171740206244,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,90.0,,sbert_original,SBERT (original),Coverage,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.4842084651344137,0.4709260774088382,0.4973374026695311,0.9930826888929912,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,10.0,,sbert_original,SBERT (original),Coverage+Div,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.0827280952440578,0.0760990626181335,0.0897636404713467,0.4674550653047978,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,30.0,,sbert_original,SBERT (original),Coverage+Div,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.2227840468516898,0.2175232691795286,0.2273433423732201,0.8178699991684344,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,50.0,,sbert_original,SBERT (original),Coverage+Div,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.2749649550399727,0.2702666981139532,0.2807892064295966,0.9192171974779996,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,90.0,,sbert_original,SBERT (original),Coverage+Div,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.4674174943447364,0.4558381518732496,0.4774161267890703,0.9928062040054272,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,10.0,,sbert_original,SBERT (original),TraitPredictiveness,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.0518868256407434,0.0479560822766837,0.0547634608434927,0.3594249061053601,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,30.0,,sbert_original,SBERT (original),TraitPredictiveness,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.1227282161161849,0.1022210075317072,0.1405519139201305,0.6501286926638323,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,50.0,,sbert_original,SBERT (original),TraitPredictiveness,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.1196085405384078,0.1089130835847407,0.1262631654501768,0.7745129660173063,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,90.0,,sbert_original,SBERT (original),TraitPredictiveness,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.1970439800695036,0.1820720209919451,0.2120159391470621,0.980474620226936,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,10.0,,sbert_original,SBERT (original),Hybrid-A,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.064936578780705,0.0623873276465924,0.0691830913348505,0.4505827916798958,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,30.0,,sbert_original,SBERT (original),Hybrid-A,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.199709550476858,0.1836482906097956,0.2157094265240198,0.7965718719246855,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,50.0,,sbert_original,SBERT (original),Hybrid-A,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.2857560986392891,0.2768733784879786,0.2939596049983636,0.912494594463656,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,90.0,,sbert_original,SBERT (original),Hybrid-A,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.3700710504867793,0.3598706278172451,0.3798655787780583,0.9907515129460938,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
phase1_selection_strategy,phase1,10.0,,sbert_original,SBERT (original),Hybrid-B,phase1_selected_items,UniformKNN K=5,original_fixed_K5,5.0,,0.0712066269717014,0.0661649059751156,0.0766592439984336,0.4284347656632028,,,Phase 1 item-selection comparison,results/phase1/figures/table1_item_level.csv,,,,,,,,
