strategy,ratio,item_r,ci_lower,ci_upper
Random,10,0.06844582307853617,0.06523240364034846,0.0716097224940031
Random,30,0.19840259507024854,0.19434407473292653,0.20237326708809464
Random,50,0.2767314496529674,0.2727667534100156,0.2806774947726978
Random,90,0.32144959236904463,0.311293274422136,0.3317237093615475
BalancedRandom,10,0.07508057389385739,0.07151852649300848,0.0784642440696581
BalancedRandom,30,0.21357113322928512,0.21019996673259786,0.2169802113990189
BalancedRandom,50,0.2852225854101209,0.2817139673794405,0.28874337887729407
BalancedRandom,90,0.3436720709456648,0.33411781114258005,0.3533142864678199
Coverage,10,0.0836368102444791,0.07641782862883724,0.09107782707319227
Coverage,30,0.2555322634425815,0.24932602307190205,0.2617385038132609
Coverage,50,0.3037373382247258,0.2966510044882892,0.3109040761066599
Coverage,90,0.4842084651344137,0.47092607740883824,0.4973374026695311
Coverage+Div,10,0.0827280952440578,0.07609906261813357,0.08976364047134675
Coverage+Div,30,0.2227840468516898,0.21752326917952866,0.22734334237322015
Coverage+Div,50,0.2749649550399727,0.2702666981139532,0.28078920642959665
Coverage+Div,90,0.4674174943447364,0.4558381518732496,0.4774161267890703
TraitPredictiveness,10,0.0518868256407434,0.0479560822766837,0.05476346084349274
TraitPredictiveness,30,0.1227282161161849,0.10222100753170726,0.14055191392013056
TraitPredictiveness,50,0.1196085405384078,0.10891308358474079,0.12626316545017685
TraitPredictiveness,90,0.1970439800695036,0.18207202099194514,0.21201593914706213
Hybrid-A,10,0.064936578780705,0.06238732764659242,0.06918309133485058
Hybrid-A,30,0.199709550476858,0.18364829060979562,0.21570942652401986
Hybrid-A,50,0.2857560986392891,0.27687337848797866,0.29395960499836365
Hybrid-A,90,0.3700710504867793,0.35987062781724516,0.3798655787780583
Hybrid-B,10,0.0712066269717014,0.06616490597511568,0.07665924399843366
Hybrid-B,30,0.2134522097156317,0.2091087797689862,0.2177956396622772
Hybrid-B,50,0.2852674917818767,0.2736404095383888,0.29689457402536457
Hybrid-B,90,0.3349708504119426,0.3079767595118013,0.3659662264671022
Hybrid-C,10,0.074788427522324,0.0706678407707401,0.07790163726774395
Hybrid-C,30,0.2283295367234902,0.22044750375559988,0.23751228853546627
Hybrid-C,50,0.2944632690188268,0.2840670636045692,0.30226048888504664
Hybrid-C,90,0.3353128910597991,0.3064495014869658,0.3641762806326324
