strategy,ratio,trait_r_mean,ci_lower,ci_upper
Random,10,0.9941141442146797,0.9927335070580243,0.9953585637360766
Random,30,0.976816809302942,0.970754767815975,0.9819068654305344
Random,50,0.9383209580177854,0.9131215642060743,0.9577878306650648
Random,90,0.73448166220843,0.6873368229147526,0.7784899561982862
BalancedRandom,10,0.9940746913593494,0.9932186369901488,0.9948365379214485
BalancedRandom,30,0.9791195024440963,0.9758381279509346,0.982026129619993
BalancedRandom,50,0.9482660166268938,0.9387642093846388,0.9564511419615757
BalancedRandom,90,0.7230986136454995,0.6853613283358224,0.7532731575591011
Coverage,10,0.9941129683848196,0.9927038449416078,0.9954471608296876
Coverage,30,0.9780923010215236,0.9714998654139738,0.9839477727605976
Coverage,50,0.9530655072112999,0.9433598675769015,0.962230175488482
Coverage,90,0.7924658062525353,0.7460467381810887,0.8357472115245559
Coverage+Div,10,0.994226296812579,0.9927019321776126,0.9956359637044255
Coverage+Div,30,0.9764400791271862,0.9696913644277861,0.9825733601038831
Coverage+Div,50,0.9445441343821878,0.9301258532731401,0.9584296219649798
Coverage+Div,90,0.7944542178260471,0.7484138493831576,0.8372341757653684
TraitPredictiveness,10,0.9937035568091366,0.9902619284634608,0.9967934273411582
TraitPredictiveness,30,0.9703979001420581,0.9608515466476727,0.9800857918795937
TraitPredictiveness,50,0.8853450123843248,0.8466456800026639,0.9233203096553233
TraitPredictiveness,90,0.5511674035147706,0.46198284117370264,0.6525011580784471
Hybrid-A,10,0.9958640963824638,0.9950440991832128,0.9968034780967792
Hybrid-A,30,0.9755629563657859,0.9695430025333511,0.9810881105699749
Hybrid-A,50,0.9410373388708184,0.9321007047961216,0.9501930458859019
Hybrid-A,90,0.6307802750061594,0.5811758295502732,0.6845830812146938
Hybrid-B,10,0.9957391129271709,0.994608053975307,0.9968909150988757
Hybrid-B,30,0.977988790892778,0.9747665328868078,0.9810045874490898
Hybrid-B,50,0.9398457245952118,0.9306943946114268,0.9492536203052943
Hybrid-B,90,0.639938600849051,0.6103922914746603,0.6695474698233155
Hybrid-C,10,0.9954490765201075,0.9949484008419518,0.9959316726777276
Hybrid-C,30,0.9784386331474463,0.9752990934299276,0.9814338996495593
Hybrid-C,50,0.9422243397823494,0.9362646677592301,0.9478310997688068
Hybrid-C,90,0.6361620528061693,0.6046660708666223,0.6669189564565735
