strategy,ratio,r_O,r_O_lo,r_O_hi,r_C,r_C_lo,r_C_hi,r_E,r_E_lo,r_E_hi,r_A,r_A_lo,r_A_hi,r_N,r_N_lo,r_N_hi,trait_r_mean,ci_lower,ci_upper
Random,10,0.41233992501347216,0.39061546823038107,0.43373643053812727,0.4942777872459352,0.4647074746510792,0.523381632471693,0.5029000110998366,0.47080756137889135,0.5347136992889323,0.4288509636808285,0.39811536588645735,0.4587668210990671,0.22783048933257477,0.18204618742938572,0.2735685563414625,0.41323983527452945,0.40622017398497773,0.4202099648565129
Random,30,0.7401660342850165,0.723489679896461,0.7563846444018276,0.8332951928321551,0.8205761322046188,0.8454257751530886,0.8291751067073758,0.8133538250144764,0.8438662126801949,0.7667751019742142,0.7495487837203105,0.7827688787177411,0.7356105067875944,0.7073354832246568,0.7619407276757594,0.7810043885172712,0.7756748423043894,0.7861812148398459
Random,50,0.8935719433362598,0.887471574322155,0.899727694216471,0.9376868369913952,0.933162651129396,0.9419980688777567,0.9405283058285019,0.9358992110555432,0.9447645329796862,0.8948817977418612,0.8857392893276527,0.902788313299632,0.9169359955160121,0.9078150802199775,0.9254924081466249,0.916720975882806,0.9146042352019016,0.9186190739766029
Random,90,0.9889327375609517,0.9879951207330684,0.9899071189228901,0.993882680221396,0.9932852515429133,0.9944481138193747,0.994466356980587,0.9939283359424067,0.9949868174754715,0.9902076021803945,0.9893244300679732,0.9910514868562375,0.9944639397571459,0.9939743996342969,0.9949410825944599,0.992390663340095,0.9922287415554473,0.9925471534375626
BalancedRandom,10,0.4565740625659723,0.44617231365045,0.4671607067026222,0.5445853065031606,0.5353327167762916,0.5535728354004766,0.5773550174463034,0.5660279776565954,0.5882137282930517,0.4962523622847637,0.48519920080087936,0.5070377551167939,0.2842123706183607,0.2665838326960653,0.3018285010305564,0.47179582388371216,0.46729895133655364,0.4761599763720581
BalancedRandom,30,0.7808013691999172,0.77504246850382,0.786284563925184,0.8514215307068025,0.8469121268003738,0.8556948630505049,0.8688044503477821,0.8647823833605367,0.8726790999725814,0.8032419002607142,0.7985877855819817,0.8077582152063106,0.8053493915120714,0.7990805676055264,0.8114946818151361,0.8219237284054575,0.8196609843198768,0.8241987914488794
BalancedRandom,50,0.899431288148393,0.8966723498935539,0.9021545297507355,0.9443928365932457,0.9429661490313389,0.9457860853425449,0.9476366904838318,0.9462244480773828,0.9490137870298376,0.9140220191435364,0.9120191971078434,0.9159440901957715,0.933631774070711,0.9316412822896845,0.9355510223681697,0.9278229216879436,0.9269498012483774,0.9287006232479832
BalancedRandom,90,0.9893553588229371,0.9890117362362568,0.9896974165456545,0.9942942775349108,0.9941340707443024,0.9944520596319972,0.9947695864814826,0.9946242146084997,0.9949157070559532,0.9908789232190204,0.9905345926001011,0.99120400629082,0.994691919231193,0.9945699371818698,0.9948099285228172,0.9927980130579087,0.9926961094962184,0.9929010168493018
Coverage,10,0.49331588766333406,0.4599897242580031,0.5295977532377263,0.5593509086877396,0.5247079908056295,0.581730269087026,0.38227537927986416,0.347943230829883,0.43172902970902305,0.5248628905972449,0.49581165300132535,0.5603604630801859,0.3782662833587799,0.3611785444674582,0.3962921956797555,0.4676142699173925,0.44926235669391057,0.4841566161748509
Coverage,30,0.8386245924490275,0.8260023783473412,0.8521489682002535,0.8740600325090154,0.8638406536593918,0.8837710968667505,0.7894043431731046,0.7709002922308945,0.8072112834801238,0.8080988840139718,0.79832491881233,0.81724002297169,0.8319164219100745,0.8265580851928229,0.8367514114345042,0.8284208548110387,0.8205206572373509,0.8347477721313531
Coverage,50,0.9237539330273039,0.9150872523834461,0.9314350580169519,0.9154509678777734,0.9079617079022002,0.9219920236817861,0.9623079753622816,0.960061286140156,0.9650333576018161,0.937969249355849,0.9347207850011288,0.9423083066725153,0.9236037444799138,0.9206679169365195,0.926542995651165,0.9326171740206244,0.9290192931306933,0.9355345182985729
