strategy,ratio,trait_r_mean,ci_lower,ci_upper
Random,10,0.7072626220111978,0.6657769264658827,0.7465504443704127
Random,30,0.8902236291803821,0.869473577398521,0.9086489800021634
Random,50,0.9474835015614435,0.9346711790824331,0.9588845782781078
Random,90,0.9938209724056342,0.9910986000015853,0.9961555221299087
BalancedRandom,10,0.7213901460494353,0.6976431131839034,0.7441934345034837
BalancedRandom,30,0.9029220949327541,0.8898452410342305,0.9152224615691793
BalancedRandom,50,0.9541928850892871,0.9474595548738592,0.9602621115505852
BalancedRandom,90,0.9938659115443653,0.9921162024633108,0.9950687386407477
Coverage,10,0.7139770731351719,0.6804672708465704,0.7482597716381929
Coverage,30,0.8992525919644039,0.8871508120480268,0.9115851379519792
Coverage,50,0.9529534517694787,0.9466047407025334,0.9593371336947324
Coverage,90,0.9937423753285151,0.9913793869664722,0.9959416481144041
Coverage+Div,10,0.7070349328688778,0.6673295621662974,0.7449201162659957
Coverage+Div,30,0.9017538882927931,0.8939568222095459,0.9092494172785641
Coverage+Div,50,0.9564344154656408,0.9508930271426435,0.9613975435528078
Coverage+Div,90,0.9935350838234772,0.9910542747683811,0.9958360495122682
TraitPredictiveness,10,0.8366536493767651,0.7938003807826796,0.8787808319932952
TraitPredictiveness,30,0.9073999731133183,0.8680128204300109,0.942140157331984
TraitPredictiveness,50,0.8847343933928274,0.8263666461370774,0.9372837015357861
TraitPredictiveness,90,0.9866676160093286,0.976909137611916,0.9956573803963199
Hybrid-A,10,0.7936278384626416,0.7313122119431065,0.8468269842158108
Hybrid-A,30,0.8930281491867477,0.8663571219314724,0.9182840194829788
Hybrid-A,50,0.9431186111369246,0.9232306195184806,0.9609165137645459
Hybrid-A,90,0.9924518441194574,0.9888600634253177,0.9956264304986792
Hybrid-B,10,0.7860379690186161,0.7290524992032934,0.8372131593454245
Hybrid-B,30,0.8981196300064944,0.8740749327381279,0.9209441849539
Hybrid-B,50,0.9480380167234813,0.9351238399881567,0.9599470814814643
Hybrid-B,90,0.9935286825451486,0.9918200684193176,0.995159027452522
Hybrid-C,10,0.7542850559625985,0.7142093042538195,0.7917758343284709
Hybrid-C,30,0.9102356324688605,0.8934874255117682,0.9257210033964524
Hybrid-C,50,0.9466778123488436,0.9311855309074047,0.9602020270124716
Hybrid-C,90,0.9940261847004102,0.9928199632951384,0.9950849878476413
