strategy,ratio,fold,item_r,item_r_ci_lower,item_r_ci_upper,item_mae,item_rmse,item_rounded_accuracy,trait_r_O,trait_r_C,trait_r_E,trait_r_A,trait_r_N,trait_r_mean,profile_r,coverage,redundancy,trait_max_dev,dir_imbalance,fwd_ratio,trait_count_O,trait_count_C,trait_count_E,trait_count_A,trait_count_N,selected_S
TraitPredictiveness,10,0,0.05630846701782048,0.045615484429648676,0.06700144960599229,1.110141414141414,1.4152265297182869,0.2720808080808081,0.16434470029641174,0.7525626866010139,0.9150469646491658,0.3008266087652203,-0.27903319377135277,0.3707495533080918,0.47626888333737094,,,4.0,0.30000000000000004,0.8,0,3,6,0,1,"9,42,57,64,68,72,79,82,92,94"
Hybrid-A,10,0,0.06252852184111996,0.05175927626704565,0.07329776741519427,1.0864040404040403,1.347947605458166,0.25212121212121213,0.33003040527045874,0.6506582075881934,0.73659871564182,0.03214200180098292,0.43218258067830273,0.43632238219595154,0.5807008059878676,0.803460169460753,0.6355281041080131,2.0,0.0,0.5,1,3,3,0,3,"23,59,64,66,67,68,82,92,94,96"
Hybrid-B,10,0,0.06913761075465463,0.0592993256637184,0.07897589584559087,1.0882020202020204,1.3479010904083166,0.25004040404040406,0.30714007823518935,0.5228264767095732,0.7771017222281597,0.022867723104917064,0.5593271804163645,0.4378526361388408,0.6655065272862064,0.7981119096993602,0.6002483847209283,2.0,0.0,0.5,1,2,4,0,3,"39,42,66,73,77,78,82,92,94,96"
Hybrid-C,10,0,0.07597532293834892,0.0656083736152014,0.08634227226149645,1.0576969696969698,1.347859957607927,0.27587878787878783,0.43388168367852664,0.6518741095030584,0.7753805071106094,0.34865428514775193,0.2555224304209458,0.4930626031721784,0.6851657024982784,0.7965119283769058,0.599943093330286,1.0,0.0,0.5,2,2,3,1,2,"39,42,60,66,73,77,78,82,91,94"
TraitPredictiveness,30,0,0.13713498060334542,0.12621492634353507,0.14805503486315577,1.0897142857142856,1.3805830248513178,0.27046753246753247,0.1535145430472793,0.8416011781183292,0.9708745824668518,0.4512730296883108,0.9171875824773505,0.6668901831596243,0.7135536323294756,,,6.0,0.16666666666666663,0.6666666666666666,0,7,11,2,10,"4,9,13,16,17,28,29,34,42,46,49,54,57,59,62,64,65,66,68,69,72,77,78,79,82,89,91,92,94,99"
Hybrid-A,30,0,0.20134491514232544,0.19042865224929945,0.21226117803535144,1.0086233766233765,1.2889497155333034,0.2863376623376623,0.714853243281128,0.8220529764561272,0.9625740581987925,0.755801675598007,0.7924806128869117,0.8095525132841932,0.8732211523283662,0.875252437445739,0.6283121417105699,4.0,0.06666666666666665,0.5666666666666667,4,5,10,4,7,"8,9,11,13,16,23,28,42,47,57,59,60,62,64,65,66,67,68,69,72,73,78,79,82,85,90,91,92,94,96"
Hybrid-B,30,0,0.2181703995761187,0.20601865160579472,0.23032214754644267,1.0107792207792208,1.2719053183623021,0.2738961038961039,0.7290264291173774,0.8754183302355192,0.9538330312209699,0.7045820445317641,0.816472204845458,0.8158664079902177,0.8852034904050164,0.8752982054088636,0.6028430223642819,3.0,0.09999999999999998,0.4,5,6,9,4,6,"4,6,7,8,9,13,28,31,36,39,42,43,49,60,62,66,67,68,73,77,78,79,82,83,87,91,92,94,95,96"
Hybrid-C,30,0,0.23132403615423114,0.21948640708625855,0.24316166522220373,1.0129610389610388,1.2618848643841558,0.2648831168831169,0.7792289638658392,0.8581585762493609,0.9108061223293662,0.7793053411514387,0.8800800662386341,0.8415158139669277,0.8948417403120231,0.8750786988946614,0.6032784107224638,1.0,0.0,0.5,6,5,7,5,7,"4,5,6,8,11,28,31,39,42,49,50,60,62,66,67,68,73,77,78,79,82,83,86,87,90,91,92,94,95,96"
TraitPredictiveness,50,0,0.12341311190564583,0.11012258997561447,0.13670363383567719,1.114909090909091,1.3865435488510482,0.2520727272727272,0.3600905057632152,0.9814829123050869,0.9747541100515665,0.5267065741742727,0.990973419092751,0.7668015042773785,0.8182269614562366,,,9.0,0.0,0.5,1,15,14,3,17,"4,7,8,9,10,11,13,14,16,17,18,19,26,27,28,29,32,34,36,38,39,42,46,47,48,49,54,57,59,62,64,65,66,67,68,69,72,77,78,79,82,87,89,90,91,92,94,96,97,99"
Hybrid-A,50,0,0.29657567670199747,0.28471037470381755,0.3084409787001774,0.9596727272727273,1.2309130249441098,0.2982909090909091,0.7922529898997014,0.9666041951807985,0.9765844666684892,0.863467874515469,0.9771913876234152,0.9152201827775747,0.9416498688166871,0.9202479099483633,0.6292457896526203,5.0,0.0,0.5,5,12,12,8,13,"4,5,7,8,9,11,13,14,16,17,19,20,23,26,27,28,29,31,42,46,47,51,57,58,59,60,62,64,65,66,67,68,69,72,73,77,78,79,82,85,86,87,89,90,91,92,94,95,96,99"
Hybrid-B,50,0,0.29828666478628907,0.28574761373826674,0.3108257158343114,0.9566545454545454,1.2291979069053083,0.30309090909090913,0.8878510368133056,0.954668500228643,0.9769860398203063,0.9212848381117996,0.9172627124073071,0.9316106254762723,0.9372156062106488,0.9237930598366115,0.6066281145458756,3.0,0.06,0.44,9,10,13,9,9,"3,4,5,6,7,8,9,13,14,17,19,22,28,31,36,39,42,43,49,50,51,53,54,57,60,62,65,66,67,68,69,71,72,73,77,78,79,81,82,83,86,87,88,89,90,91,92,94,95,96"
Hybrid-C,50,0,0.30561793715759183,0.29265250356671174,0.31858337074847193,0.9521818181818182,1.2177291741413352,0.2978545454545454,0.8940653973928374,0.9527034989661252,0.9698789827057283,0.8973393680712601,0.9606371324684595,0.9349248759208821,0.9456542577064752,0.9250043843306124,0.611582369334502,1.0,0.0,0.5,9,10,11,9,11,"4,5,6,7,8,9,11,13,14,17,19,20,26,28,29,31,39,42,43,49,50,51,53,54,57,60,62,65,66,67,68,69,71,72,73,77,78,79,82,83,85,86,87,89,90,91,92,94,95,96"
TraitPredictiveness,90,0,0.2215316146724945,0.19307199764579658,0.2499912316991924,0.9470909090909091,1.1878409676567192,0.30127272727272725,0.9100963175506095,0.997791740109344,0.9999999999999999,0.9950777742414225,1.0,0.9805931663802753,0.9888070189888625,,,6.0,0.033333333333333326,0.4666666666666667,12,19,20,19,20,"1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,82,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-A,90,0,0.36563855857893196,0.3394597642036346,0.3918173529542293,0.9118181818181819,1.1446204336209502,0.306,0.9676201194118429,0.9920138710168318,0.9999999999999999,0.9950777742414225,0.997962198989458,0.9905347927319111,0.9923882329656082,0.9883801085312229,0.6288161923499247,3.0,0.011111111111111127,0.4888888888888889,15,17,20,19,19,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,25,26,27,28,29,31,32,34,35,36,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
