strategy,ratio,item_r,item_mae,item_rmse,item_rounded_accuracy,trait_r_O,trait_r_C,trait_r_E,trait_r_A,trait_r_N,trait_r_mean,profile_r,coverage,redundancy,trait_max_dev,dir_imbalance,fwd_ratio
Hybrid-A,10,0.06493657878070506,1.0819747493146399,1.3453990343310505,0.25235799157329214,0.29434706711438474,0.6728852498839692,0.6985538820768384,0.07346834326469316,0.5136594160595938,0.45058279167989596,0.5944466400201446,0.8036850738209136,0.6361072614914185,2.0,0.0,0.5
Hybrid-A,30,0.19970955047685807,1.0085125068010314,1.2844567824273998,0.2834132708821233,0.7092917596541928,0.8189014228911888,0.9569624526197986,0.6745489680215361,0.823154756436711,0.7965718719246855,0.8742861551093501,0.8761171816891032,0.6283101259699679,4.0,0.07999999999999999,0.58
Hybrid-A,50,0.28575609863928914,0.9641624242424245,1.2354309889712263,0.29707518463321747,0.783822946708267,0.9659816627681274,0.9763271630715733,0.8716501980457043,0.964691001724607,0.9124945944636558,0.9340628898560495,0.9209086321654432,0.628452668295116,4.8,0.0040000000000000036,0.496
Hybrid-A,90,0.37007105048677935,0.9047211790031462,1.1398384916599902,0.3094250041397582,0.9691240814361912,0.9942973068024961,1.0,0.9924424694464757,0.997893707045306,0.9907515129460938,0.9931996260421283,0.9877051878536325,0.6286693723652407,3.2,0.019999999999999983,0.48
Hybrid-B,10,0.07120662697170144,1.0811892991849277,1.3425921777967482,0.25164835237622124,0.2767420415772565,0.546360643052477,0.7715659502813043,-0.0012792961725305197,0.5487844895775071,0.42843476566320293,0.6500760191051658,0.7971700266798318,0.5979767143400145,2.0,0.0,0.5
Hybrid-B,30,0.21345220971563172,1.0116319068909232,1.2698078450697963,0.27101244766162796,0.7119841288118275,0.8755607401585651,0.9441693253706163,0.7036760537970493,0.8220217826607923,0.81148240615977,0.8859947457666486,0.8751040554418645,0.6024455069202077,2.8,0.10666666666666665,0.39333333333333337
Hybrid-B,50,0.2852674917818767,0.9654542937572446,1.2355574125150937,0.2966616592151018,0.888258376263751,0.959331019904508,0.9751604716073048,0.9023538790032261,0.916604699065805,0.9283416891689189,0.9354479729211193,0.9234596704349995,0.6066063737804198,2.8,0.068,0.43200000000000005
Hybrid-B,90,0.33497085041194263,0.9182482530220234,1.1675385125743478,0.3151387978142076,0.9891981991766233,0.9949875109759547,0.9977221246995065,0.9822533386264183,0.9967703916580437,0.9921863130273092,0.9925563342224226,0.988101099239997,0.6239586484454621,1.4,0.0222222222222222,0.47777777777777775
Hybrid-C,10,0.07478842752232409,1.058698408492944,1.3415010051896175,0.2707427940608268,0.38093601394116783,0.6572661168930234,0.7581435056929058,0.3543384961062238,0.31536429218337825,0.4932096849633398,0.6367448635866166,0.796030557149112,0.5962623607496736,1.0,0.0,0.5
Hybrid-C,30,0.22832953672349027,1.0054675845102075,1.2581036253768825,0.2691946821848461,0.7561679928796403,0.8633561234566118,0.9014486944326562,0.7950589730631981,0.8689051197456805,0.8369873807155574,0.8952498884879656,0.8751554974428867,0.6029203053946015,1.0,0.01333333333333333,0.4866666666666667
Hybrid-C,50,0.2944632690188268,0.956994363305183,1.2230474068359054,0.2965493359827786,0.8670758672862522,0.9581817501977795,0.9673170153115995,0.9023210463860731,0.9537262303805669,0.9297243819124542,0.9414918249604106,0.9232984255362933,0.6103519858178232,1.4,0.0040000000000000036,0.496
Hybrid-C,90,0.33531289105979917,0.9336023845007452,1.1872479235579576,0.3127374730915714,0.9938600963251346,0.994254677280923,0.9959406790519234,0.9830046765035256,0.9950832990410456,0.9924286856405103,0.9927844452247176,0.9888504432489766,0.6239404175743901,1.0,0.0044444444444444505,0.4955555555555556
TraitPredictiveness,10,0.05188682564074344,1.1170310169086126,1.4151309514943482,0.26544508104726683,0.13309905808826805,0.7538643860328136,0.9003009105542347,0.2586887746168518,-0.24882859876536706,0.3594249061053602,0.45199354795932917,,,4.0,0.30000000000000004,0.8
TraitPredictiveness,30,0.12272821611618498,1.103273361247132,1.3911068468561205,0.26404487024814893,0.10289178771727422,0.8690355673718366,0.9653612190375999,0.40315043112520954,0.9102044580672418,0.6501286926638323,0.6787234129495675,,,6.0,0.14666666666666664,0.6466666666666667
TraitPredictiveness,50,0.11960854053840783,1.1046338267925153,1.3718349141817188,0.25091941049842686,0.3241088259006394,0.982159600334019,0.9754101739236434,0.6018822879369743,0.9890039419912554,0.7745129660173063,0.812210570078855,,,9.0,0.008000000000000007,0.508
TraitPredictiveness,90,0.1970439800695036,0.9670022189104157,1.206124092198143,0.29145355191256833,0.9098096988874641,0.9975993941116472,1.0,0.9949640081355696,1.0,0.9804746202269362,0.9883077418127396,,,6.0,0.033333333333333326,0.4666666666666667
