predictor,ratio,item_r,item_r_ci_lower,item_r_ci_upper,item_mae,trait_r_mean,profile_r,best_K,best_tau
Tuned UniformKNN,10,0.12461580389771258,0.12153692291071805,0.127559101924916,1.0719906975032658,0.520593352667167,0.5874911257914401,3.0,
CosineWeightedKNN,10,0.1510684281696264,0.13691043465942476,0.1614922132478062,1.0534213464333682,0.3867355795178483,0.676301081050908,10.0,
SoftmaxKNN,10,0.2586693597583426,0.25391772603300933,0.26342099348367565,1.0045253702783756,0.6458535072951255,0.6864391851197684,7.0,0.1
KernelSmoothing,10,0.2570822946480036,0.25192750594539487,0.2622370833506123,1.0015225037257824,0.6427271458696862,0.6880252809053108,,0.1
UniformKNN K=5 (原文 baseline),10,0.0836368102444791,,,1.0627544369008848,0.4676142699173925,0.5627003541530119,5.0,
Tuned UniformKNN,30,0.28562101148620966,0.2797409185003053,0.29150110447211397,0.9728989473186195,0.8449128295227212,0.8654006304768714,3.0,
CosineWeightedKNN,30,0.2883931535941616,0.28273568710214525,0.294050620086178,0.9711216805052869,0.8452847960958498,0.865898944423491,3.0,
SoftmaxKNN,30,0.3541724864060649,0.34855750911667915,0.36010936229989554,0.9244131620656212,0.8560830535550112,0.8763989618548443,7.0,0.1
KernelSmoothing,30,0.3368441974432231,0.3324478789026163,0.34124051598382976,0.9252096515506352,0.8518785550525992,0.8786937080957505,,0.1
UniformKNN K=5 (原文 baseline),30,0.2555322634425815,,,0.9788133796986256,0.8284208548110387,0.8792844159117224,5.0,
Tuned UniformKNN,50,0.34109999358194065,0.33684176499619245,0.3472707949729673,0.9168557840702103,0.9339201698486427,0.9355986759505626,3.0,
CosineWeightedKNN,50,0.342163151255709,0.3378931820642369,0.3482577553488615,0.9159828051001823,0.9340253450488916,0.9356808397402789,3.0,
SoftmaxKNN,50,0.4036516554472914,0.398843244107537,0.40852122603771895,0.8648593078324225,0.9375808374330006,0.9379298207112772,10.0,0.1
KernelSmoothing,50,0.3893022109153983,0.38604836801224574,0.3935883452557274,0.8743729491637688,0.936362476157836,0.9388892812350509,,0.09
UniformKNN K=5 (原文 baseline),50,0.3037373382247258,,,0.9315970856102004,0.9326171740206242,0.940465896650946,5.0,
Tuned UniformKNN,90,0.5582480761000804,0.5496416380980131,0.5674465188823404,0.6959258155323729,0.9934375444263701,0.9936510517512159,3.0,
CosineWeightedKNN,90,0.558331143485907,0.549754702302416,0.5676434673390597,0.6959257492962411,0.9934339607247085,0.9936492772974939,3.0,
SoftmaxKNN,90,0.5994927960957072,0.5907111437771689,0.6082744484142454,0.6611486007617156,0.9936491059972627,0.9933549846064048,3.0,0.038
KernelSmoothing,90,0.6000916128000202,0.5919087771857953,0.6082744484142454,0.6607486007617155,0.9936176000731975,0.9932950083319347,,0.034
UniformKNN K=5 (原文 baseline),90,0.4842084651344137,,,0.7601284980957113,0.9930826888929914,0.9936818999502024,5.0,
