comparison,a_version,b_version,embedding_key,embedding_label,ratio,metric,delta_mean,ci_lower,ci_upper,p_raw,n_pairs,bootstrap_unit,bootstrap_iterations,selection_changed_any_fold,jaccard_mean_vs_s_old,p_holm,p_bh
B1_minus_A1,A1_fixed,B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,per_subject_item_r,0.03007854548564252,0.025245213787615888,0.034876135636251304,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.25,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,e5_base_v2,E5-base-v2,10,per_subject_item_r,0.01732365227447926,0.011690308400249028,0.022888167476663935,0.0,2747,subjects_resampled_within_outer_fold,10000,True,0.17647058823529413,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,minilm_l6_v2,MiniLM-L6-v2,10,per_subject_item_r,0.03160852711524148,0.026167982797901838,0.037130798992336796,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.11111111111111112,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,mpnet_base_v2,MPNet-base-v2,10,per_subject_item_r,0.06219419321353987,0.057099828062390286,0.06726865704652721,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.17647058823529413,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,sbert_original,SBERT (original),10,per_subject_item_r,2.5056176549464448e-17,2.385317819106822e-17,2.627451323199026e-17,0.0,2748,subjects_resampled_within_outer_fold,10000,False,1.0,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,30,per_subject_item_r,0.01317484804577299,0.009920310053938203,0.016445469079082356,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.30434782608695654,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,e5_base_v2,E5-base-v2,30,per_subject_item_r,0.005216644645803626,0.0014036110272756903,0.008999621011646732,0.0076,2748,subjects_resampled_within_outer_fold,10000,True,0.22448979591836732,0.0152,0.008
B1_minus_A1,A1_fixed,B1_fixed,minilm_l6_v2,MiniLM-L6-v2,30,per_subject_item_r,0.0025092861525084107,-0.0008725333550669785,0.005870891417409519,0.1408,2748,subjects_resampled_within_outer_fold,10000,True,0.2,0.1408,0.1408
B1_minus_A1,A1_fixed,B1_fixed,mpnet_base_v2,MPNet-base-v2,30,per_subject_item_r,-0.011631923999150766,-0.014326473130237242,-0.008916190003248867,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.30434782608695654,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,sbert_original,SBERT (original),30,per_subject_item_r,-0.0031276190109817015,-0.003658602133656168,-0.0025977865334891556,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.9354838709677418,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,50,per_subject_item_r,-0.01087801826729729,-0.014305670805512734,-0.0073492899237558446,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.5151515151515151,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,e5_base_v2,E5-base-v2,50,per_subject_item_r,0.010615646844657857,0.006585418226040926,0.014712334898901223,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.44927536231884063,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,minilm_l6_v2,MiniLM-L6-v2,50,per_subject_item_r,0.005909054362118293,0.002332484770160979,0.009397071723072532,0.001,2748,subjects_resampled_within_outer_fold,10000,True,0.3333333333333333,0.003,0.0011111111111111111
B1_minus_A1,A1_fixed,B1_fixed,mpnet_base_v2,MPNet-base-v2,50,per_subject_item_r,-0.007558160137308409,-0.010887189673337056,-0.004270425035155786,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.4084507042253521,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,sbert_original,SBERT (original),50,per_subject_item_r,0.002993152833791339,0.0022511084462665514,0.003739901283188214,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.9230769230769231,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,90,per_subject_item_r,-0.04259096157649025,-0.05274434748075374,-0.0323076035320373,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.8947368421052632,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,e5_base_v2,E5-base-v2,90,per_subject_item_r,-0.14145547945722595,-0.15441327247233091,-0.12828539498322228,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.8181818181818181,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,minilm_l6_v2,MiniLM-L6-v2,90,per_subject_item_r,-0.14182731198513407,-0.15503783669771065,-0.12868862628816988,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.8556701030927835,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,mpnet_base_v2,MPNet-base-v2,90,per_subject_item_r,-0.031545704938411745,-0.042425573754002584,-0.020342446686272882,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.875,0.0,0.0
B1_minus_A1,A1_fixed,B1_fixed,sbert_original,SBERT (original),90,per_subject_item_r,4.990367968953021e-18,3.7150889725465816e-18,6.242704332051589e-18,0.0,2748,subjects_resampled_within_outer_fold,10000,False,1.0,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,bge_base_en_v15,BGE-base-en-v1.5,10,per_subject_item_r,0.027960572345322385,0.02281965843919273,0.033056562871890745,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.25,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,e5_base_v2,E5-base-v2,10,per_subject_item_r,0.0075735042339397625,0.002381895909754296,0.012809375324936038,0.0058,2747,subjects_resampled_within_outer_fold,10000,True,0.17647058823529413,0.028999999999999998,0.0072499999999999995
B2_minus_A2,A2_tuned,B2_tuned,minilm_l6_v2,MiniLM-L6-v2,10,per_subject_item_r,0.027242585976027335,0.021633807802567746,0.03285060305475859,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.11111111111111112,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,mpnet_base_v2,MPNet-base-v2,10,per_subject_item_r,0.05873403332705263,0.05377560291560944,0.06388665468251768,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.17647058823529413,0.0,0.0
