embedding_key,embedding_label,ratio,fold,version_scope,s_new_hash,s_old_fold_hash,s_new_size,s_old_size,intersection_n,union_n,jaccard_overlap,selection_changed,items_only_in_s_new,items_only_in_s_old,s_new_coverage,s_new_redundancy,s_old_coverage,s_old_redundancy
sbert_original,SBERT (original),10,0,B1_and_B2_shared_selection,92745849571d4031,92745849571d4031,10,10,10,10,1.0,False,,,0.8111274868951677,0.6411336137882714,0.8111275356842519,0.6411336607517674
sbert_original,SBERT (original),10,1,B1_and_B2_shared_selection,92745849571d4031,92745849571d4031,10,10,10,10,1.0,False,,,0.8111274868951677,0.6411336137882714,0.8111275356842519,0.6411336607517674
sbert_original,SBERT (original),10,2,B1_and_B2_shared_selection,92745849571d4031,92745849571d4031,10,10,10,10,1.0,False,,,0.8111274868951677,0.6411336137882714,0.8111275356842519,0.6411336607517674
sbert_original,SBERT (original),10,3,B1_and_B2_shared_selection,92745849571d4031,92745849571d4031,10,10,10,10,1.0,False,,,0.8111274868951677,0.6411336137882714,0.8111275356842519,0.6411336607517674
sbert_original,SBERT (original),10,4,B1_and_B2_shared_selection,92745849571d4031,92745849571d4031,10,10,10,10,1.0,False,,,0.8111274868951677,0.6411336137882714,0.8111275356842519,0.6411336607517674
sbert_original,SBERT (original),30,0,B1_and_B2_shared_selection,1ce15da48f8052fb,62099f7a34f67aa9,30,30,29,31,0.9354838709677419,True,8,31,0.8829888774252218,0.6177224169867237,0.8829888945012074,0.6164002583578039
sbert_original,SBERT (original),30,1,B1_and_B2_shared_selection,1ce15da48f8052fb,62099f7a34f67aa9,30,30,29,31,0.9354838709677419,True,8,31,0.8829888774252218,0.6177224169867237,0.8829888945012074,0.6164002583578039
sbert_original,SBERT (original),30,2,B1_and_B2_shared_selection,1ce15da48f8052fb,62099f7a34f67aa9,30,30,29,31,0.9354838709677419,True,8,31,0.8829888774252218,0.6177224169867237,0.8829888945012074,0.6164002583578039
sbert_original,SBERT (original),30,3,B1_and_B2_shared_selection,1ce15da48f8052fb,62099f7a34f67aa9,30,30,29,31,0.9354838709677419,True,8,31,0.8829888774252218,0.6177224169867237,0.8829888945012074,0.6164002583578039
sbert_original,SBERT (original),30,4,B1_and_B2_shared_selection,1ce15da48f8052fb,62099f7a34f67aa9,30,30,29,31,0.9354838709677419,True,8,31,0.8829888774252218,0.6177224169867237,0.8829888945012074,0.6164002583578039
sbert_original,SBERT (original),50,0,B1_and_B2_shared_selection,6e6167ebfe199350,d172a87b5a6e4875,50,50,48,52,0.9230769230769231,True,"44,52","72,84",0.9300378527369638,0.6262648127738439,0.930037828572538,0.6265620656816998
sbert_original,SBERT (original),50,1,B1_and_B2_shared_selection,6e6167ebfe199350,d172a87b5a6e4875,50,50,48,52,0.9230769230769231,True,"44,52","72,84",0.9300378527369638,0.6262648127738439,0.930037828572538,0.6265620656816998
sbert_original,SBERT (original),50,2,B1_and_B2_shared_selection,6e6167ebfe199350,d172a87b5a6e4875,50,50,48,52,0.9230769230769231,True,"44,52","72,84",0.9300378527369638,0.6262648127738439,0.930037828572538,0.6265620656816998
sbert_original,SBERT (original),50,3,B1_and_B2_shared_selection,6e6167ebfe199350,d172a87b5a6e4875,50,50,48,52,0.9230769230769231,True,"44,52","72,84",0.9300378527369638,0.6262648127738439,0.930037828572538,0.6265620656816998
sbert_original,SBERT (original),50,4,B1_and_B2_shared_selection,6e6167ebfe199350,d172a87b5a6e4875,50,50,48,52,0.9230769230769231,True,"44,52","72,84",0.9300378527369638,0.6262648127738439,0.930037828572538,0.6265620656816998
sbert_original,SBERT (original),90,0,B1_and_B2_shared_selection,e4aca0f6b9e84075,e4aca0f6b9e84075,90,90,90,90,1.0,False,,,0.9945458615517709,0.6283191148966659,0.9945457838532562,0.628319119336572
sbert_original,SBERT (original),90,1,B1_and_B2_shared_selection,e4aca0f6b9e84075,e4aca0f6b9e84075,90,90,90,90,1.0,False,,,0.9945458615517709,0.6283191148966659,0.9945457838532562,0.628319119336572
sbert_original,SBERT (original),90,2,B1_and_B2_shared_selection,e4aca0f6b9e84075,e4aca0f6b9e84075,90,90,90,90,1.0,False,,,0.9945458615517709,0.6283191148966659,0.9945457838532562,0.628319119336572
sbert_original,SBERT (original),90,3,B1_and_B2_shared_selection,e4aca0f6b9e84075,e4aca0f6b9e84075,90,90,90,90,1.0,False,,,0.9945458615517709,0.6283191148966659,0.9945457838532562,0.628319119336572
sbert_original,SBERT (original),90,4,B1_and_B2_shared_selection,e4aca0f6b9e84075,e4aca0f6b9e84075,90,90,90,90,1.0,False,,,0.9945458615517709,0.6283191148966659,0.9945457838532562,0.628319119336572
minilm_l6_v2,MiniLM-L6-v2,10,0,B1_and_B2_shared_selection,6a6a2a502b884a35,92745849571d4031,10,10,2,18,0.1111111111111111,True,"11,18,28,43,65,73,78,97","12,40,41,48,59,66,67,80",0.7503406568520229,0.5935861805430829,0.8111275356842519,0.6411336607517674
minilm_l6_v2,MiniLM-L6-v2,10,1,B1_and_B2_shared_selection,6a6a2a502b884a35,92745849571d4031,10,10,2,18,0.1111111111111111,True,"11,18,28,43,65,73,78,97","12,40,41,48,59,66,67,80",0.7503406568520229,0.5935861805430829,0.8111275356842519,0.6411336607517674
minilm_l6_v2,MiniLM-L6-v2,10,2,B1_and_B2_shared_selection,6a6a2a502b884a35,92745849571d4031,10,10,2,18,0.1111111111111111,True,"11,18,28,43,65,73,78,97","12,40,41,48,59,66,67,80",0.7503406568520229,0.5935861805430829,0.8111275356842519,0.6411336607517674
minilm_l6_v2,MiniLM-L6-v2,10,3,B1_and_B2_shared_selection,6a6a2a502b884a35,92745849571d4031,10,10,2,18,0.1111111111111111,True,"11,18,28,43,65,73,78,97","12,40,41,48,59,66,67,80",0.7503406568520229,0.5935861805430829,0.8111275356842519,0.6411336607517674
minilm_l6_v2,MiniLM-L6-v2,10,4,B1_and_B2_shared_selection,6a6a2a502b884a35,92745849571d4031,10,10,2,18,0.1111111111111111,True,"11,18,28,43,65,73,78,97","12,40,41,48,59,66,67,80",0.7503406568520229,0.5935861805430829,0.8111275356842519,0.6411336607517674
minilm_l6_v2,MiniLM-L6-v2,30,0,B1_and_B2_shared_selection,bad524b73607dd87,62099f7a34f67aa9,30,30,10,50,0.2,True,"2,5,10,11,16,18,27,38,44,56,57,60,62,65,68,70,78,79,91,97","4,7,20,25,29,31,35,36,41,42,45,47,48,49,50,66,77,80,83,86",0.8364934175915859,0.6002675741078065,0.8829888945012074,0.6164002583578039
